	WT-t00	WT-t05	WT-t10	WT-t15	WT-t20	WT-t30	WT-t45	WT-t60
YJL156W-A	2.4472	0	4.8899	0	0	0	0	0
YJL156C	12.2362	9.0386	7.3349	22.4284	22.2699	14.4147	4.0907	26.7007
YJL155C	19.5779	18.0772	56.2343	81.3029	84.6255	123.9665	118.6295	45.7727
YJL154C	78.3114	92.6457	90.4639	103.7312	93.5335	164.3276	171.8083	137.3181
YJL153C	75.8642	85.8668	66.0142	61.678	86.8525	77.8394	75.6775	64.8447
YJL152W	26.9195	9.0386	26.8947	14.0177	13.3619	49.01	20.4534	30.5151
YJL151C	256.9593	314.0916	276.2816	235.498	289.5084	409.3776	525.6516	446.2838
YJL150W	0	0	0	0	0	0	4.0907	7.6288
YJL149W	26.9195	20.3369	17.1148	33.6426	20.0429	40.3612	30.6801	11.4432
YJL148W	161.5173	214.6669	154.0331	95.3206	40.0858	31.7124	47.0427	76.2878
YJL147C	12.2362	9.0386	24.4497	8.4106	15.5889	11.5318	6.136	30.5151
YJL146W	7.3417	9.0386	7.3349	25.2319	26.7239	25.9465	18.408	34.3295
YJL145W	80.7586	70.0492	78.239	53.2674	40.0858	20.1806	32.7254	49.5871
YJL144W	31.814	45.193	127.1384	176.6235	160.3431	265.2306	169.763	80.1022
YJL143W	188.4368	164.9546	117.3586	137.3738	155.8892	141.2641	177.9443	194.534
YJL142C	46.4974	76.8282	107.5787	193.4447	204.8829	216.2206	165.6723	95.3598
YJL141C	56.2863	85.8668	127.1384	215.8731	224.9258	230.6353	192.2617	106.803
YJL140W	161.5173	155.916	195.5976	156.9986	167.0241	196.04	196.3523	133.5037
YJL139C	7.3417	13.5579	41.5645	16.8213	44.5398	40.3612	14.3174	26.7007
YJL138C	1267.666	1249.5876	1173.5855	1180.2933	1113.494	836.0529	623.8278	724.7344
YJL137C	9.7889	15.8176	31.7846	14.0177	28.9508	34.5953	32.7254	26.7007
YJL136W-A	107.6782	72.3089	68.4592	39.2497	57.9017	69.1906	40.9067	30.5151
YJL136C	2841.2359	2607.6385	2506.0941	2220.4093	1930.7986	1527.9588	1266.0636	1567.715
YJL135W	0	0	0	0	0	0	0	3.8144
YJL134W	70.9697	56.4913	58.6793	42.0532	64.5827	72.0735	98.1762	80.1022
YJL133C-A	161.5173	207.888	286.0615	470.9959	654.7345	795.6917	535.8783	686.5905
YJL133W	70.9697	70.0492	58.6793	44.8568	37.8588	83.6053	79.7681	64.8447
YJL132W	2.4472	4.5193	17.1148	22.4284	22.2699	34.5953	22.4987	11.4432
YJL131C	19.5779	22.5965	9.7799	16.8213	37.8588	40.3612	44.9974	22.8864
YJL130C	242.2759	300.5337	308.0662	285.9618	198.2019	129.7323	77.7228	110.6174
YJL129C	85.6531	74.5685	48.8994	33.6426	62.3557	60.5418	81.8135	95.3598
YJL128C	56.2863	40.6737	58.6793	47.6603	86.8525	109.5518	73.6321	53.4015
YJL127W-A	4.8945	0	0	0	6.681	8.6488	4.0907	7.6288
YJL127C-B	102.7837	101.6843	119.8035	120.5525	169.2511	129.7323	104.3122	110.6174
YJL127C	4.8945	2.2597	2.445	8.4106	4.454	5.7659	6.136	15.2576
YJL126W	24.4723	27.1158	4.8899	14.0177	15.5889	8.6488	16.3627	15.2576
YJL125C	19.5779	36.1544	19.5598	22.4284	13.3619	11.5318	12.272	19.072
YJL124C	122.3616	119.7616	122.2485	131.7667	86.8525	158.5618	124.7656	80.1022
YJL123C	127.256	124.2809	83.129	114.9454	129.1653	213.3376	177.9443	133.5037
YJL122W	230.0398	180.7722	70.9041	39.2497	17.8159	23.0635	24.544	61.0303
YJL120W	0	2.2597	0	2.8035	0	8.6488	0	0
YJL121C	92.9948	112.9826	124.6935	89.7135	91.3065	77.8394	77.7228	49.5871
YJL118W	2.4472	6.779	2.445	5.6071	2.227	8.6488	10.2267	26.7007
YJL119C	4.8945	0	0	2.8035	2.227	0	2.0453	11.4432
YJL117W	97.8893	106.2036	117.3586	103.7312	93.5335	126.8494	126.8109	95.3598
YJL116C	4.8945	2.2597	12.2248	5.6071	17.8159	5.7659	0	26.7007
YJL115W	48.9446	38.4141	17.1148	22.4284	24.4969	11.5318	38.8614	38.1439
YJL112W	41.6029	42.9334	53.7893	50.4638	69.0366	60.5418	83.8588	57.2159
YJL111W	288.7733	332.1689	234.7171	201.8554	216.0178	216.2206	202.4884	240.3067
YJL110C	51.3919	33.8948	53.7893	42.0532	69.0366	54.7759	47.0427	64.8447
YJL109C	168.859	144.6177	117.3586	95.3206	60.1287	23.0635	14.3174	45.7727
YJL108C	24.4723	103.944	462.0993	485.0136	244.9687	51.8929	18.408	22.8864
YJL107C	2.4472	6.779	4.8899	0	0	0	0	0
YJL106W	2.4472	31.6351	26.8947	11.2142	11.1349	5.7659	16.3627	11.4432
YJL105W	0	0	0	5.6071	4.454	2.8829	0	0
YJL104W	132.1505	124.2809	97.7988	72.8922	89.0795	83.6053	116.5842	110.6174
YJL103C	4.8945	9.0386	7.3349	22.4284	24.4969	11.5318	20.4534	11.4432
YJL102W	19.5779	29.3755	17.1148	11.2142	26.7239	49.01	36.8161	11.4432
YJL101C	58.7336	27.1158	51.3444	50.4638	37.8588	106.6688	85.9042	110.6174
YJL100W	39.1557	13.5579	39.1195	22.4284	37.8588	49.01	34.7707	26.7007
YJL099W	14.6834	13.5579	9.7799	16.8213	11.1349	14.4147	18.408	22.8864
YJL098W	51.3919	47.4527	34.2296	16.8213	4.454	5.7659	14.3174	19.072
YJL097W	127.256	173.9932	105.1337	123.3561	91.3065	121.0835	124.7656	148.7613
YJL096W	92.9948	65.5299	41.5645	50.4638	46.7667	100.9029	89.9948	68.6591
YJL095W	36.7085	33.8948	34.2296	30.839	26.7239	31.7124	32.7254	26.7007
YJL094C	44.0502	56.4913	24.4497	53.2674	64.5827	77.8394	57.2694	38.1439
YJL093C	39.1557	38.4141	36.6745	56.0709	71.2636	103.7859	73.6321	49.5871
YJL092W	34.2612	31.6351	22.0047	25.2319	22.2699	28.8294	18.408	49.5871
YJL091C	36.7085	31.6351	17.1148	19.6248	28.9508	49.01	22.4987	41.9583
YJL090C	24.4723	18.0772	19.5598	42.0532	17.8159	17.2976	10.2267	26.7007
YJL089W	2.4472	4.5193	0	2.8035	8.908	2.8829	6.136	0
YJL088W	325.4818	338.9478	344.7407	308.3902	233.8337	187.3912	218.8511	316.5945
YJL087C	17.1306	42.9334	29.3396	30.839	33.4048	40.3612	16.3627	26.7007
YJL085W	29.3668	24.8562	46.4544	19.6248	35.6318	25.9465	38.8614	26.7007
YJL086C	2.4472	0	0	0	0	0	0	0
YJL084C	53.8391	40.6737	48.8994	89.7135	93.5335	106.6688	112.4935	87.731
YJL083W	4.8945	11.2983	9.7799	25.2319	26.7239	17.2976	12.272	7.6288
YJL082W	4.8945	18.0772	31.7846	11.2142	37.8588	46.1271	36.8161	38.1439
YJL081C	105.231	103.944	102.6887	64.4816	86.8525	109.5518	69.5415	91.5454
YJL080C	181.0951	289.2355	229.8272	249.5157	265.0116	198.9229	179.9897	144.9469
YJL079C	41.6029	115.2423	158.923	142.9809	138.0733	198.9229	349.7526	453.9126
YJL078C	48.9446	79.0878	80.684	86.91	80.1716	72.0735	106.3575	106.803
YJL077W-B	2.4472	6.779	7.3349	11.2142	4.454	8.6488	0	7.6288
YJL077W-A	41.6029	47.4527	26.8947	25.2319	17.8159	31.7124	73.6321	45.7727
YJL077C	2.4472	0	2.445	0	6.681	5.7659	4.0907	0
YJL076W	73.4169	74.5685	56.2343	67.2851	80.1716	63.4247	53.1788	41.9583
YJL075C	2.4472	0	0	0	0	0	0	0
YJL074C	19.5779	33.8948	12.2248	16.8213	11.1349	8.6488	4.0907	19.072
YJL073W	19.5779	22.5965	19.5598	14.0177	17.8159	20.1806	12.272	7.6288
YJL072C	29.3668	27.1158	14.6698	16.8213	17.8159	11.5318	18.408	22.8864
YJL071W	12.2362	20.3369	2.445	16.8213	13.3619	11.5318	12.272	26.7007
YJL070C	7.3417	22.5965	24.4497	22.4284	71.2636	109.5518	94.0855	38.1439
YJL069C	85.6531	81.3475	34.2296	16.8213	6.681	0	14.3174	15.2576
YJL068C	36.7085	63.2703	44.0095	42.0532	75.7176	89.3712	116.5842	144.9469
YJL067W	0	2.2597	0	2.8035	2.227	2.8829	2.0453	0
YJL066C	31.814	29.3755	29.3396	78.4993	93.5335	118.2006	155.4456	106.803
YJL064W	4.8945	2.2597	12.2248	0	2.227	0	2.0453	0
YJL065C	53.8391	56.4913	46.4544	56.0709	53.4477	31.7124	53.1788	72.4734
YJL063C	46.4974	81.3475	53.7893	44.8568	57.9017	95.1371	102.2668	80.1022
YJL062W-A	156.6228	142.3581	149.1432	106.5348	171.4781	239.2841	276.1205	198.3484
YJL062W	46.4974	40.6737	53.7893	44.8568	57.9017	69.1906	59.3148	61.0303
YJL061W	29.3668	15.8176	17.1148	30.839	44.5398	66.3076	38.8614	57.2159
YJL060W	92.9948	49.7123	66.0142	56.0709	82.3986	135.4982	167.7176	167.8332
YJL059W	12.2362	15.8176	12.2248	22.4284	28.9508	8.6488	34.7707	72.4734
YJL058C	12.2362	9.0386	7.3349	5.6071	17.8159	8.6488	18.408	19.072
YJL057C	26.9195	18.0772	31.7846	58.8745	97.9875	72.0735	67.4961	34.3295
YJL056C	26.9195	11.2983	24.4497	28.0355	20.0429	8.6488	4.0907	15.2576
YJL055W	119.9143	176.2529	141.8083	134.5703	158.1161	164.3276	249.5311	228.8635
YJL054W	115.0199	90.3861	85.5739	109.3383	53.4477	57.6588	102.2668	91.5454
YJL053W	39.1557	40.6737	63.5692	64.4816	95.7605	123.9665	87.9495	83.9166
YJL052C-A	0	2.2597	0	0	0	0	0	0
YJL052W	261.8538	266.6389	232.2721	361.6576	483.2564	928.307	1261.9729	1399.8818
YJL051W	31.814	42.9334	36.6745	25.2319	28.9508	23.0635	36.8161	68.6591
YJL050W	117.4671	131.0598	124.6935	117.749	71.2636	37.4782	12.272	26.7007
YJL049W	9.7889	27.1158	24.4497	30.839	31.1778	14.4147	22.4987	38.1439
YJL048C	29.3668	38.4141	51.3444	53.2674	57.9017	63.4247	104.3122	114.4318
YJL047C-A	7.3417	11.2983	7.3349	8.4106	20.0429	11.5318	2.0453	15.2576
YJL047C	17.1306	9.0386	31.7846	28.0355	26.7239	37.4782	20.4534	19.072
YJL046W	17.1306	6.779	7.3349	22.4284	22.2699	28.8294	20.4534	26.7007
YJL045W	7.3417	22.5965	7.3349	11.2142	11.1349	8.6488	10.2267	11.4432
YJL044C	92.9948	76.8282	83.129	98.1241	115.8034	158.5618	114.5389	118.2461
YJL043W	4.8945	0	0	2.8035	0	2.8829	0	0
YJL042W	53.8391	51.972	41.5645	78.4993	97.9875	123.9665	149.3096	87.731
YJL041W	117.4671	140.0984	117.3586	72.8922	75.7176	118.2006	116.5842	95.3598
YJL039C	80.7586	72.3089	46.4544	58.8745	44.5398	60.5418	65.4508	49.5871
YJL038C	0	0	0	2.8035	2.227	2.8829	4.0907	0
YJL037W	0	4.5193	9.7799	8.4106	2.227	5.7659	6.136	3.8144
YJL036W	24.4723	29.3755	36.6745	75.6958	102.4414	121.0835	83.8588	57.2159
YJL035C	19.5779	15.8176	19.5598	22.4284	22.2699	20.1806	20.4534	15.2576
YJL034W	391.5571	384.1409	415.6449	482.2101	567.8819	559.2906	707.6866	492.0565
YJL033W	139.4922	131.0598	92.9089	58.8745	24.4969	23.0635	12.272	22.8864
YJL032W	2.4472	0	0	0	2.227	2.8829	4.0907	0
YJL031C	63.628	51.972	48.8994	44.8568	53.4477	77.8394	92.0402	91.5454
YJL030W	53.8391	47.4527	39.1195	64.4816	62.3557	57.6588	69.5415	83.9166
YJL029C	39.1557	45.193	29.3396	44.8568	31.1778	77.8394	57.2694	72.4734
YJL028W	0	0	0	0	0	0	0	0
YJL027C	0	0	4.8899	0	0	0	0	0
YJL026W	327.929	268.8986	315.4011	241.105	267.2386	245.05	227.0324	217.4203
YJL026C-A	0	0	0	2.8035	2.227	0	0	0
YJL025W	22.0251	13.5579	12.2248	5.6071	6.681	0	6.136	19.072
YJL024C	31.814	31.6351	41.5645	16.8213	22.2699	46.1271	22.4987	26.7007
YJL022W	0	4.5193	2.445	5.6071	2.227	5.7659	0	3.8144
YJL023C	39.1557	20.3369	26.8947	44.8568	31.1778	46.1271	26.5894	53.4015
YJL020W-A	0	0	4.8899	0	0	0	0	0
YJL020C	73.4169	72.3089	88.0189	106.5348	138.0733	216.2206	255.6671	164.0188
YJL019W	9.7889	2.2597	2.445	14.0177	11.1349	11.5318	8.1813	11.4432
YJL016W	41.6029	56.4913	56.2343	151.3915	142.5272	273.8794	341.5713	259.3786
YJL015C	2.4472	6.779	2.445	5.6071	4.454	8.6488	12.272	0
YJL014W	227.5925	162.695	183.3727	165.4093	204.8829	198.9229	179.9897	164.0188
YJL013C	36.7085	31.6351	17.1148	19.6248	37.8588	43.2441	36.8161	38.1439
YJL012C	90.5476	101.6843	85.5739	95.3206	71.2636	92.2541	69.5415	64.8447
YJL011C	66.0753	42.9334	24.4497	14.0177	11.1349	5.7659	12.272	26.7007
YJL010C	83.2059	72.3089	68.4592	28.0355	31.1778	14.4147	18.408	19.072
YJL009W	4.8945	0	9.7799	5.6071	0	8.6488	2.0453	7.6288
YJL008C	301.0095	300.5337	271.3917	257.9263	233.8337	247.9329	249.5311	282.265
YJL007C	0	0	0	0	2.227	0	0	0
YJL006C	29.3668	24.8562	7.3349	5.6071	17.8159	20.1806	10.2267	34.3295
YJL005W	58.7336	76.8282	58.6793	114.9454	171.4781	227.7523	186.1257	122.0605
YJL004C	66.0753	65.5299	58.6793	50.4638	46.7667	60.5418	49.0881	95.3598
YJL003W	26.9195	27.1158	26.8947	33.6426	42.3128	60.5418	36.8161	45.7727
YJL002C	208.0147	219.1863	266.5017	232.6944	322.9133	296.9429	239.3044	331.8521
YJL001W	234.9342	185.2915	202.9325	204.6589	251.6496	322.8894	407.0221	286.0794
YJR001W	134.5977	119.7616	97.7988	131.7667	153.6622	147.03	202.4884	190.7196
YJR002W	97.8893	106.2036	124.6935	44.8568	46.7667	28.8294	28.6347	45.7727
YJR003C	63.628	54.2317	36.6745	16.8213	22.2699	5.7659	18.408	41.9583
YJR004C	829.6115	1007.8048	870.4093	689.6726	681.4583	570.8223	437.7021	579.7875
YJR005W	17.1306	24.8562	19.5598	30.839	35.6318	28.8294	59.3148	41.9583
YJR005C-A	2.4472	2.2597	0	0	0	0	2.0453	3.8144
YJR006W	48.9446	45.193	26.8947	30.839	51.2207	40.3612	49.0881	30.5151
YJR007W	313.2456	273.4179	227.3822	196.2483	180.386	135.4982	143.1736	133.5037
YJR008W	107.6782	135.5791	161.368	213.0696	282.8275	322.8894	282.2565	286.0794
YJR009C	2787.3968	3220.0042	3479.1921	3473.5948	3594.3586	3782.4187	4422.0185	5057.8834
YJR010W	73.4169	40.6737	56.2343	39.2497	37.8588	49.01	30.6801	68.6591
YJR010C-A	39.1557	27.1158	29.3396	19.6248	33.4048	46.1271	61.3601	38.1439
YJR011C	26.9195	18.0772	9.7799	30.839	22.2699	14.4147	28.6347	26.7007
YJR013W	90.5476	72.3089	56.2343	42.0532	73.4906	63.4247	61.3601	64.8447
