	WT-t00	WT-t05	WT-t10	WT-t15	WT-t20	WT-t30	WT-t45	WT-t60
YAL069W	0	0	2.445	0	0	0	0	0
YAL068W-A	0	0	2.445	0	0	0	0	0
TEL01L-XC	0	0	0	0	0	0	0	0
YAL068C	4.8945	6.779	0	0	4.454	2.8829	4.0907	3.8144
YAL067W-A	0	0	0	0	0	0	0	0
YAL067C	2.4472	0	0	0	2.227	2.8829	4.0907	0
YAL066W	0	0	0	0	0	0	0	0
YAL065C	0	0	0	0	0	0	0	0
YAL064W-B	0	0	0	2.8035	0	0	0	0
YAL064C-A	0	0	0	0	0	0	0	3.8144
YAL064W	0	0	0	0	2.227	0	2.0453	3.8144
YAL063C-A	0	4.5193	0	0	4.454	5.7659	0	0
YAL063C	4.8945	9.0386	14.6698	5.6071	6.681	11.5318	14.3174	7.6288
YAL062W	0	0	7.3349	2.8035	4.454	2.8829	12.272	3.8144
YAL061W	53.8391	88.1264	330.0709	723.3151	783.8998	576.5882	247.4858	148.7613
YAL060W	80.7586	67.7896	129.5834	137.3738	149.2082	245.05	355.8886	198.3484
YAL059W	110.1254	76.8282	41.5645	19.6248	2.227	2.8829	14.3174	22.8864
YAL059C-A	2.4472	4.5193	4.8899	2.8035	6.681	8.6488	22.4987	11.4432
YAL058W	41.6029	36.1544	26.8947	47.6603	24.4969	46.1271	38.8614	26.7007
YAL056C-A	0	0	0	2.8035	2.227	0	0	0
YAL056W	61.1808	31.6351	41.5645	50.4638	60.1287	86.4882	65.4508	68.6591
YAL055W	26.9195	22.5965	26.8947	33.6426	35.6318	57.6588	40.9067	19.072
YAL054C	17.1306	20.3369	14.6698	5.6071	6.681	8.6488	24.544	3.8144
YAL053W	110.1254	85.8668	78.239	70.0887	66.8096	98.02	116.5842	106.803
YAL051W	26.9195	27.1158	22.0047	61.678	28.9508	54.7759	49.0881	64.8447
YAL049C	117.4671	67.7896	73.3491	100.9277	115.8034	164.3276	128.8562	152.5757
YAL047W-A	2.4472	2.2597	2.445	0	0	5.7659	0	0
YAL048C	0	0	2.445	2.8035	2.227	2.8829	0	0
YAL047C	19.5779	20.3369	17.1148	5.6071	17.8159	14.4147	22.4987	11.4432
YAL046C	100.3365	65.5299	66.0142	56.0709	55.6747	43.2441	79.7681	99.1742
YAL044W-A	134.5977	137.8388	107.5787	145.7844	73.4906	121.0835	108.4029	156.3901
YAL045C	14.6834	13.5579	12.2248	14.0177	6.681	14.4147	12.272	19.072
YAL044C	440.5017	368.3233	359.4106	375.6753	347.4101	331.5382	499.0622	591.2307
YAL043C	48.9446	31.6351	66.0142	75.6958	64.5827	92.2541	89.9948	76.2878
YAL042W	217.8036	286.9758	325.181	263.5334	249.4227	270.9965	298.6192	297.5226
YAL042C-A	0	0	0	0	0	0	2.0453	0
YAL041W	36.7085	45.193	48.8994	50.4638	51.2207	63.4247	53.1788	41.9583
YAL040C	34.2612	45.193	100.2438	53.2674	66.8096	77.8394	71.5868	91.5454
YAL039C	36.7085	33.8948	36.6745	22.4284	62.3557	66.3076	69.5415	61.0303
YAL038W	3661.0584	4528.3428	4694.3421	4681.9236	4730.1225	4696.311	4947.6701	4539.1261
YAL037C-B	7.3417	9.0386	7.3349	14.0177	8.908	5.7659	6.136	11.4432
YAL037C-A	110.1254	212.4073	207.8224	227.0873	211.5639	256.5818	214.7604	259.3786
YAL037W	29.3668	20.3369	7.3349	11.2142	15.5889	11.5318	8.1813	7.6288
YAL036C	163.9645	210.1476	119.8035	84.1064	53.4477	46.1271	57.2694	76.2878
YAL035W	330.3763	370.5829	342.2958	257.9263	198.2019	201.8059	198.3977	205.9772
YAL034W-A	26.9195	6.779	24.4497	22.4284	17.8159	17.2976	24.544	15.2576
YAL034C-B	14.6834	11.2983	17.1148	0	11.1349	5.7659	16.3627	11.4432
YAL034C	17.1306	31.6351	117.3586	117.749	129.1653	155.6788	87.9495	61.0303
YAL033W	48.9446	33.8948	39.1195	28.0355	28.9508	23.0635	30.6801	53.4015
YAL032C	31.814	9.0386	46.4544	56.0709	42.3128	34.5953	28.6347	34.3295
YAL031W-A	0	0	0	0	0	0	0	3.8144
YAL031C	17.1306	13.5579	17.1148	19.6248	33.4048	69.1906	28.6347	15.2576
YAL030W	129.7033	142.3581	132.0284	156.9986	204.8829	265.2306	294.5285	221.2347
YAL029C	132.1505	126.5405	105.1337	140.1774	126.9383	132.6153	104.3122	102.9886
YAL028W	9.7889	4.5193	17.1148	25.2319	15.5889	40.3612	28.6347	45.7727
YAL027W	19.5779	15.8176	22.0047	28.0355	37.8588	57.6588	42.9521	34.3295
YAL026C-A	44.0502	42.9334	14.6698	19.6248	15.5889	20.1806	47.0427	49.5871
YAL026C	88.1003	99.4247	51.3444	47.6603	60.1287	51.8929	79.7681	91.5454
YAL025C	137.045	149.137	41.5645	19.6248	13.3619	11.5318	16.3627	53.4015
YAL024C	31.814	11.2983	14.6698	25.2319	15.5889	20.1806	28.6347	34.3295
YAL023C	237.3815	244.0424	232.2721	199.0518	153.6622	190.2741	157.4909	183.0908
YAL022C	92.9948	63.2703	80.684	39.2497	48.9937	66.3076	77.7228	87.731
YAL021C	63.628	36.1544	39.1195	16.8213	71.2636	60.5418	57.2694	68.6591
YAL019W-A	2.4472	0	0	0	0	0	0	0
YAL020C	56.2863	42.9334	34.2296	47.6603	57.9017	54.7759	65.4508	45.7727
YAL019W	68.5225	40.6737	44.0095	25.2319	26.7239	8.6488	26.5894	41.9583
YAL018C	4.8945	0	0	0	0	0	0	0
YAL017W	31.814	22.5965	48.8994	100.9277	155.8892	170.0935	165.6723	91.5454
YAL016C-B	0	4.5193	0	5.6071	2.227	5.7659	0	3.8144
YAL016W	137.045	153.6563	141.8083	179.427	180.386	201.8059	157.4909	194.534
YAL016C-A	2.4472	0	0	0	0	0	0	3.8144
YAL015C	36.7085	9.0386	34.2296	28.0355	44.5398	31.7124	61.3601	38.1439
YAL014C	24.4723	15.8176	31.7846	47.6603	26.7239	34.5953	34.7707	26.7007
YAL013W	17.1306	40.6737	24.4497	36.4461	28.9508	46.1271	42.9521	30.5151
YAL012W	166.4117	158.1756	220.0473	238.3015	222.6988	210.4547	155.4456	144.9469
YAL011W	4.8945	6.779	7.3349	14.0177	6.681	23.0635	16.3627	7.6288
YAL010C	26.9195	2.2597	4.8899	16.8213	22.2699	31.7124	16.3627	7.6288
YAL009W	12.2362	47.4527	14.6698	30.839	35.6318	34.5953	47.0427	57.2159
YAL008W	61.1808	45.193	46.4544	61.678	73.4906	118.2006	132.9469	141.1325
YAL007C	166.4117	142.3581	195.5976	151.3915	140.3002	158.5618	188.171	160.2045
YAL004W	2.4472	2.2597	0	0	0	2.8829	8.1813	7.6288
YAL005C	354.8486	501.6428	887.5241	1471.8622	1926.3446	2828.1652	4524.2853	4676.4442
YAL003W	1671.4592	1572.7179	1479.2068	1275.6139	1084.5431	815.8723	754.7293	938.3404
YAL002W	29.3668	18.0772	22.0047	39.2497	26.7239	37.4782	38.8614	34.3295
YAL001C	24.4723	33.8948	22.0047	44.8568	42.3128	57.6588	65.4508	72.4734
YAR002W	78.3114	70.0492	51.3444	75.6958	89.0795	89.3712	75.6775	99.1742
YAR002C-A	171.3062	158.1756	144.2532	190.6412	118.0304	106.6688	116.5842	87.731
YAR003W	34.2612	29.3755	41.5645	42.0532	31.1778	40.3612	38.8614	30.5151
YAR007C	75.8642	76.8282	90.4639	58.8745	77.9446	118.2006	87.9495	91.5454
YAR008W	24.4723	20.3369	17.1148	11.2142	13.3619	11.5318	10.2267	3.8144
YAR014C	66.0753	54.2317	44.0095	39.2497	60.1287	86.4882	51.1334	38.1439
YAR015W	227.5925	257.6003	212.7124	204.6589	149.2082	170.0935	169.763	122.0605
YAR018C	53.8391	33.8948	19.5598	28.0355	31.1778	28.8294	30.6801	30.5151
YAR019W-A	0	0	2.445	0	2.227	2.8829	0	0
YAR019C	14.6834	15.8176	31.7846	28.0355	28.9508	31.7124	42.9521	7.6288
YAR020C	7.3417	2.2597	9.7799	14.0177	15.5889	25.9465	8.1813	22.8864
YAR023C	9.7889	0	4.8899	5.6071	2.227	2.8829	6.136	3.8144
YAR027W	68.5225	85.8668	83.129	131.7667	97.9875	193.1571	182.035	144.9469
YAR028W	34.2612	36.1544	39.1195	25.2319	15.5889	23.0635	26.5894	22.8864
YAR029W	7.3417	11.2983	7.3349	8.4106	15.5889	8.6488	20.4534	26.7007
YAR031W	26.9195	22.5965	34.2296	58.8745	46.7667	51.8929	38.8614	61.0303
YAR030C	2.4472	2.2597	0	0	4.454	8.6488	14.3174	0
YAR033W	14.6834	22.5965	14.6698	19.6248	24.4969	28.8294	32.7254	38.1439
YAR035W	2.4472	6.779	4.8899	2.8035	2.227	5.7659	4.0907	3.8144
YAR035C-A	0	0	2.445	0	0	0	2.0453	0
YAR042W	26.9195	40.6737	29.3396	36.4461	46.7667	54.7759	59.3148	41.9583
YAR047C	0	0	0	0	0	0	0	0
YAR050W	7.3417	9.0386	9.7799	0	4.454	0	16.3627	7.6288
YAR053W	2.4472	0	0	0	0	0	0	0
YAR060C	0	2.2597	0	0	0	0	2.0453	0
YAR064W	0	0	0	0	0	0	0	0
YAR066W	0	0	0	0	0	0	0	0
YAR068W	2.4472	13.5579	12.2248	11.2142	31.1778	31.7124	26.5894	19.072
YAR069C	2.4472	0	0	0	0	0	0	0
YAR070C	0	0	0	0	0	0	0	0
YAR071W	4.8945	4.5193	2.445	0	11.1349	11.5318	8.1813	22.8864
YAR073W	4.8945	4.5193	0	11.2142	6.681	0	0	0
YAR075W	4.8945	4.5193	0	11.2142	6.681	0	0	0
YBL113W-A	0	0	0	0	0	0	0	0
YBL113C	48.9446	54.2317	41.5645	56.0709	62.3557	49.01	57.2694	91.5454
YBL112C	4.8945	9.0386	7.3349	2.8035	0	5.7659	2.0453	0
YBL111C	4.8945	6.779	7.3349	2.8035	0	5.7659	2.0453	0
YBL109W	0	0	2.445	0	2.227	0	0	0
TEL02L-YP	19.5779	20.3369	14.6698	8.4106	20.0429	11.5318	12.272	34.3295
TEL02L-XR	0	0	0	0	0	0	0	0
YBL108C-A	4.8945	4.5193	0	2.8035	0	5.7659	4.0907	7.6288
YBL108W	0	0	2.445	0	0	0	0	3.8144
YBL107W-A	66.0753	90.3861	53.7893	50.4638	89.0795	89.3712	81.8135	106.803
YBL107C	39.1557	33.8948	51.3444	25.2319	46.7667	31.7124	61.3601	57.2159
YBL106C	29.3668	24.8562	31.7846	33.6426	20.0429	23.0635	24.544	57.2159
YBL105C	36.7085	29.3755	46.4544	28.0355	60.1287	66.3076	65.4508	19.072
YBL104C	44.0502	15.8176	24.4497	25.2319	24.4969	31.7124	44.9974	57.2159
YBL103C	26.9195	9.0386	56.2343	19.6248	20.0429	31.7124	20.4534	26.7007
YBL102W	124.8088	99.4247	117.3586	106.5348	153.6622	112.4347	190.2163	209.7915
YBL101C	36.7085	31.6351	29.3396	64.4816	62.3557	106.6688	94.0855	68.6591
YBL100W-C	2.4472	0	2.445	0	2.227	2.8829	2.0453	0
YBL099W	212.9091	309.5723	295.8414	344.8363	351.8641	446.8559	447.9288	404.3255
YBL100C	12.2362	20.3369	29.3396	28.0355	20.0429	34.5953	32.7254	41.9583
YBL098W	19.5779	20.3369	12.2248	14.0177	15.5889	20.1806	18.408	22.8864
YBL097W	4.8945	6.779	0	0	2.227	5.7659	2.0453	3.8144
YBL095W	51.3919	15.8176	41.5645	42.0532	35.6318	37.4782	36.8161	49.5871
YBL096C	22.0251	20.3369	22.0047	16.8213	22.2699	11.5318	14.3174	7.6288
YBL094C	0	0	4.8899	0	2.227	0	2.0453	0
YBL093C	70.9697	79.0878	53.7893	75.6958	51.2207	49.01	59.3148	114.4318
YBL092W	5476.9043	4971.2346	4735.9066	4303.4447	3995.2164	3228.894	2798.0209	3207.9034
YBL091C-A	107.6782	115.2423	114.9136	120.5525	129.1653	106.6688	114.5389	118.2461
YBL091C	232.487	241.7828	222.4923	221.4802	307.3243	322.8894	302.7099	343.2953
YBL090W	44.0502	29.3755	34.2296	11.2142	15.5889	49.01	61.3601	45.7727
YBL089W	7.3417	24.8562	14.6698	28.0355	44.5398	46.1271	36.8161	30.5151
YBL088C	44.0502	27.1158	26.8947	33.6426	37.8588	25.9465	40.9067	53.4015
YBL087C	2072.8051	2038.2062	1889.9617	1603.6289	1523.2598	1158.9423	1032.8952	1319.7795
YBL086C	44.0502	36.1544	100.2438	100.9277	124.7113	147.03	83.8588	26.7007
YBL085W	63.628	54.2317	36.6745	70.0887	44.5398	63.4247	71.5868	61.0303
YBL084C	19.5779	18.0772	12.2248	16.8213	26.7239	43.2441	20.4534	38.1439
YBL083C	31.814	29.3755	24.4497	22.4284	55.6747	49.01	22.4987	57.2159
YBL082C	36.7085	29.3755	24.4497	22.4284	55.6747	49.01	24.544	57.2159
YBL081W	48.9446	27.1158	19.5598	2.8035	8.908	20.1806	16.3627	26.7007
YBL080C	7.3417	9.0386	22.0047	25.2319	37.8588	34.5953	28.6347	22.8864
YBL079W	107.6782	61.0106	53.7893	64.4816	46.7667	57.6588	38.8614	49.5871
YBL078C	19.5779	31.6351	80.684	112.1419	131.3923	207.5718	139.0829	106.803
YBL077W	17.1306	6.779	19.5598	11.2142	13.3619	5.7659	8.1813	15.2576
YBL076C	624.0441	580.7306	564.788	569.1201	427.5817	415.1435	390.6594	495.8709
YBL075C	17.1306	45.193	26.8947	33.6426	33.4048	54.7759	53.1788	61.0303
YBL073W	7.3417	6.779	9.7799	19.6248	13.3619	23.0635	2.0453	3.8144
YBL074C	0	2.2597	4.8899	2.8035	0	2.8829	2.0453	0
YBL072C	3944.9373	3852.7068	3635.6702	3518.4515	3182.3658	2848.3458	2532.1271	2689.1461
YBL071C-B	0	0	0	0	0	0	2.0453	0
YBL071W-A	68.5225	49.7123	29.3396	19.6248	13.3619	11.5318	30.6801	57.2159
YBL071C	0	4.5193	2.445	0	0	2.8829	0	0
YBL069W	14.6834	33.8948	7.3349	22.4284	15.5889	23.0635	61.3601	38.1439
YBL070C	0	2.2597	2.445	0	0	0	0	0
YBL068W-A	17.1306	33.8948	7.3349	22.4284	15.5889	28.8294	61.3601	38.1439
YBL068W	97.8893	90.3861	75.7941	61.678	28.9508	37.4782	32.7254	61.0303
YBL067C	41.6029	38.4141	17.1148	36.4461	28.9508	28.8294	49.0881	26.7007
YBL065W	2.4472	11.2983	7.3349	16.8213	17.8159	23.0635	22.4987	15.2576
YBL066C	14.6834	6.779	9.7799	5.6071	26.7239	20.1806	14.3174	15.2576
YBL064C	61.1808	76.8282	146.6982	207.4625	280.6005	369.0165	560.4223	408.1399
YBL063W	34.2612	9.0386	17.1148	19.6248	17.8159	11.5318	24.544	30.5151
YBL062W	4.8945	2.2597	0	0	2.227	0	0	0
YBL061C	48.9446	54.2317	26.8947	30.839	31.1778	20.1806	34.7707	45.7727
YBL060W	14.6834	2.2597	19.5598	19.6248	13.3619	20.1806	20.4534	22.8864
YBL059C-A	61.1808	40.6737	41.5645	33.6426	44.5398	89.3712	120.6749	99.1742
YBL059W	17.1306	22.5965	9.7799	8.4106	17.8159	37.4782	12.272	19.072
YBL058W	132.1505	167.2143	154.0331	196.2483	200.4289	276.7623	339.5259	244.1211
YBL057C	90.5476	83.6071	56.2343	109.3383	93.5335	106.6688	110.4482	137.3181
YBL056W	95.442	108.4633	139.3633	137.3738	153.6622	204.6888	288.3925	213.6059
YBL055C	58.7336	72.3089	19.5598	42.0532	28.9508	40.3612	36.8161	30.5151
YBL054W	70.9697	38.4141	39.1195	14.0177	20.0429	8.6488	8.1813	11.4432
YBL053W	2.4472	2.2597	0	0	0	0	0	0
YBL052C	75.8642	63.2703	68.4592	53.2674	60.1287	54.7759	42.9521	34.3295
YBL051C	70.9697	65.5299	92.9089	95.3206	109.1224	138.3812	153.4003	194.534
YBL050W	90.5476	83.6071	117.3586	123.3561	142.5272	155.6788	167.7176	156.3901
YBL049W	4.8945	11.2983	4.8899	2.8035	0	8.6488	6.136	11.4432
YBL048W	7.3417	11.2983	7.3349	8.4106	11.1349	31.7124	28.6347	22.8864
YBL047C	156.6228	119.7616	141.8083	162.6057	253.8766	325.7723	413.1581	255.5642
YBL046W	34.2612	31.6351	17.1148	33.6426	35.6318	28.8294	57.2694	34.3295
YBL045C	242.2759	183.0318	212.7124	207.4625	262.7846	351.7188	374.2967	286.0794
YBL044W	4.8945	13.5579	0	2.8035	2.227	5.7659	4.0907	0
YBL043W	0	0	0	2.8035	4.454	2.8829	2.0453	7.6288
YBL042C	119.9143	61.0106	70.9041	39.2497	31.1778	31.7124	40.9067	53.4015
YBL041W	163.9645	212.4073	217.6023	201.8554	216.0178	357.4847	327.2539	297.5226
YBL040C	166.4117	178.5125	188.2627	185.0341	218.2448	201.8059	200.443	244.1211
YBL039W-B	29.3668	51.972	51.3444	42.0532	62.3557	77.8394	63.4054	41.9583
YBL039C-A	22.0251	24.8562	26.8947	8.4106	8.908	0	0	3.8144
YBL039C	210.4619	164.9546	114.9136	95.3206	55.6747	17.2976	32.7254	22.8864
YBL038W	36.7085	51.972	39.1195	56.0709	69.0366	74.9565	83.8588	61.0303
YBL037W	34.2612	47.4527	51.3444	61.678	55.6747	63.4247	55.2241	87.731
YBL036C	73.4169	70.0492	75.7941	92.5171	82.3986	51.8929	61.3601	87.731
YBL035C	29.3668	15.8176	22.0047	11.2142	17.8159	8.6488	8.1813	34.3295
YBL034C	19.5779	27.1158	17.1148	28.0355	40.0858	34.5953	40.9067	41.9583
YBL033C	53.8391	22.5965	46.4544	58.8745	42.3128	46.1271	53.1788	38.1439
YBL032W	146.8339	158.1756	207.8224	154.1951	184.84	187.3912	171.8083	190.7196
YBL031W	39.1557	22.5965	34.2296	56.0709	44.5398	57.6588	61.3601	45.7727
YBL030C	195.7785	207.888	239.607	246.7121	293.9624	296.9429	345.6619	392.8823
YBL029C-A	70.9697	58.751	110.0236	142.9809	169.2511	216.2206	216.8057	102.9886
YBL029W	14.6834	29.3755	22.0047	19.6248	31.1778	57.6588	40.9067	64.8447
YBL028C	212.9091	124.2809	70.9041	30.839	17.8159	14.4147	16.3627	49.5871
YBL027W	3702.6614	3606.4048	3361.8335	3044.6521	2777.054	2216.9817	1963.5235	2013.9988
YBL026W	132.1505	99.4247	117.3586	70.0887	75.7176	86.4882	147.2643	72.4734
YBL025W	14.6834	27.1158	17.1148	14.0177	20.0429	11.5318	22.4987	30.5151
YBL024W	161.5173	187.5511	141.8083	120.5525	93.5335	95.1371	104.3122	91.5454
YBL023C	34.2612	24.8562	31.7846	28.0355	17.8159	49.01	40.9067	57.2159
YBL022C	102.7837	101.6843	80.684	75.6958	109.1224	147.03	208.6244	202.1628
YBL021C	22.0251	29.3755	24.4497	22.4284	11.1349	43.2441	28.6347	34.3295
YBL020W	24.4723	18.0772	26.8947	8.4106	15.5889	5.7659	6.136	11.4432
YBL019W	17.1306	15.8176	17.1148	2.8035	20.0429	34.5953	14.3174	22.8864
YBL018C	115.0199	76.8282	66.0142	39.2497	22.2699	5.7659	22.4987	11.4432
YBL017C	225.1453	280.1969	251.8319	252.3192	318.4593	270.9965	308.8459	328.0377
YBL016W	95.442	81.3475	70.9041	81.3029	71.2636	49.01	49.0881	91.5454
YBL015W	41.6029	49.7123	58.6793	86.91	102.4414	112.4347	122.7202	68.6591
YBL014C	51.3919	40.6737	36.6745	22.4284	24.4969	23.0635	32.7254	45.7727
YBL013W	0	0	2.445	0	0	2.8829	4.0907	0
YBL011W	36.7085	36.1544	44.0095	61.678	42.3128	49.01	75.6775	34.3295
YBL012C	0	0	0	0	0	0	0	0
YBL010C	12.2362	20.3369	17.1148	11.2142	15.5889	11.5318	22.4987	34.3295
YBL009W	34.2612	20.3369	19.5598	0	22.2699	8.6488	10.2267	15.2576
YBL008W-A	0	0	0	0	0	0	0	0
YBL008W	19.5779	11.2983	14.6698	8.4106	13.3619	17.2976	4.0907	15.2576
YBL007C	171.3062	124.2809	154.0331	190.6412	173.7051	279.6453	364.07	244.1211
YBL006W-A	2.4472	0	2.445	5.6071	0	2.8829	0	3.8144
YBL006C	117.4671	99.4247	110.0236	81.3029	115.8034	103.7859	104.3122	102.9886
YBL005W	29.3668	15.8176	7.3349	5.6071	11.1349	31.7124	28.6347	19.072
YBL004W	141.9394	178.5125	141.8083	92.5171	75.7176	57.6588	38.8614	61.0303
YBL003C	819.8226	847.3695	811.73	756.9577	668.0964	677.4911	470.4275	389.068
YBL002W	812.4809	716.3097	669.9217	714.9045	690.3663	642.8959	364.07	404.3255
YBL001C	384.2154	341.2075	361.8555	417.7285	443.1706	622.7153	623.8278	717.1056
YBR001C	34.2612	38.4141	36.6745	64.4816	115.8034	193.1571	153.4003	144.9469
YBR002C	63.628	49.7123	44.0095	25.2319	31.1778	51.8929	22.4987	34.3295
YBR003W	51.3919	49.7123	78.239	86.91	100.2145	100.9029	132.9469	102.9886
YBR004C	41.6029	42.9334	46.4544	42.0532	31.1778	25.9465	38.8614	34.3295
YBR005W	24.4723	31.6351	46.4544	36.4461	40.0858	74.9565	71.5868	30.5151
YBR006W	88.1003	79.0878	107.5787	165.4093	222.6988	268.1135	251.5764	186.9052
YBR007C	36.7085	33.8948	39.1195	25.2319	28.9508	40.3612	32.7254	34.3295
YBR008C	14.6834	11.2983	9.7799	5.6071	13.3619	25.9465	8.1813	49.5871
YBR009C	1133.0682	1012.3241	887.5241	796.2074	835.1205	789.9259	589.057	465.3558
YBR010W	768.4307	673.3763	599.0176	513.0491	505.5263	397.8459	300.6645	312.7801
YBR011C	1752.2178	1617.9109	1691.9191	1858.7517	1561.1186	1571.2029	1511.504	1697.4043
YBR012C	12.2362	15.8176	19.5598	16.8213	2.227	5.7659	8.1813	11.4432
YBR013C	31.814	40.6737	26.8947	30.839	42.3128	28.8294	49.0881	49.5871
YBR014C	63.628	47.4527	100.2438	134.5703	207.1099	262.3476	208.6244	99.1742
YBR015C	102.7837	146.8774	127.1384	117.749	106.8954	123.9665	143.1736	129.6893
YBR016W	203.1202	284.7162	308.0662	297.176	349.6371	530.4612	427.4754	362.3672
YBR017C	100.3365	106.2036	92.9089	72.8922	77.9446	106.6688	116.5842	137.3181
YBR018C	2.4472	4.5193	2.445	8.4106	8.908	5.7659	10.2267	7.6288
YBR019C	7.3417	6.779	7.3349	5.6071	11.1349	8.6488	12.272	3.8144
YBR020W	2.4472	2.2597	4.8899	5.6071	8.908	8.6488	14.3174	3.8144
YBR021W	46.4974	94.9054	105.1337	47.6603	37.8588	20.1806	20.4534	15.2576
YBR022W	34.2612	45.193	44.0095	25.2319	40.0858	49.01	49.0881	41.9583
YBR023C	73.4169	83.6071	70.9041	42.0532	55.6747	69.1906	87.9495	87.731
YBR024W	58.7336	22.5965	34.2296	53.2674	57.9017	80.7223	53.1788	53.4015
YBR025C	641.1747	634.9622	621.0223	681.2619	581.2439	524.6953	542.0143	537.8292
YBR026C	97.8893	146.8774	97.7988	117.749	173.7051	239.2841	380.4327	286.0794
YBR027C	4.8945	6.779	0	2.8035	4.454	8.6488	4.0907	7.6288
YBR028C	24.4723	33.8948	36.6745	42.0532	24.4969	20.1806	26.5894	30.5151
YBR029C	225.1453	160.4353	90.4639	47.6603	46.7667	121.0835	110.4482	144.9469
YBR030W	48.9446	47.4527	36.6745	16.8213	17.8159	17.2976	22.4987	30.5151
YBR031W	1965.127	2060.8027	1999.9853	1841.9304	1494.3089	1429.9388	1088.1193	1224.4197
YBR032W	0	6.779	17.1148	8.4106	4.454	8.6488	8.1813	0
YBR033W	4.8945	11.2983	12.2248	8.4106	8.908	11.5318	4.0907	11.4432
YBR034C	119.9143	122.0212	46.4544	33.6426	13.3619	20.1806	22.4987	15.2576
YBR035C	132.1505	187.5511	193.1526	224.2838	249.4227	273.8794	304.7552	347.1096
YBR036C	117.4671	79.0878	102.6887	78.4993	104.6684	123.9665	130.9016	91.5454
YBR037C	29.3668	22.5965	46.4544	42.0532	26.7239	66.3076	49.0881	49.5871
YBR038W	36.7085	63.2703	58.6793	81.3029	44.5398	63.4247	51.1334	45.7727
YBR039W	139.4922	162.695	136.9183	185.0341	178.159	175.8594	249.5311	152.5757
YBR040W	12.2362	11.2983	2.445	16.8213	4.454	0	4.0907	15.2576
YBR041W	61.1808	63.2703	51.3444	56.0709	73.4906	98.02	77.7228	122.0605
YBR042C	22.0251	40.6737	24.4497	19.6248	28.9508	31.7124	32.7254	57.2159
YBR043C	61.1808	42.9334	44.0095	28.0355	46.7667	40.3612	32.7254	30.5151
YBR044C	36.7085	24.8562	39.1195	33.6426	40.0858	40.3612	51.1334	34.3295
YBR045C	4.8945	15.8176	12.2248	16.8213	33.4048	34.5953	38.8614	15.2576
YBR046C	22.0251	18.0772	12.2248	11.2142	33.4048	57.6588	118.6295	72.4734
YBR047W	2.4472	2.2597	9.7799	19.6248	28.9508	28.8294	24.544	15.2576
YBR048W	1468.3389	1606.6126	1562.3357	1379.3451	1238.2053	1003.2635	959.263	904.0108
YBR049C	41.6029	56.4913	80.684	92.5171	53.4477	51.8929	53.1788	68.6591
YBR051W	2.4472	0	0	0	2.227	8.6488	0	11.4432
YBR050C	4.8945	4.5193	9.7799	5.6071	6.681	2.8829	2.0453	0
YBR052C	190.8841	173.9932	386.3052	479.4065	552.293	717.8523	877.4495	606.4883
YBR053C	53.8391	67.7896	95.3538	106.5348	135.8463	239.2841	284.3018	144.9469
YBR054W	51.3919	81.3475	114.9136	142.9809	178.159	233.5182	445.8835	362.3672
YBR055C	46.4974	42.9334	44.0095	56.0709	57.9017	83.6053	112.4935	102.9886
YBR056W	56.2863	70.0492	110.0236	128.9632	149.2082	253.6988	292.4832	240.3067
YBR056W-A	73.4169	63.2703	56.2343	81.3029	48.9937	54.7759	65.4508	61.0303
YBR056C-B	0	0	2.445	0	0	0	2.0453	0
YBR057C	26.9195	42.9334	34.2296	44.8568	60.1287	46.1271	24.544	26.7007
YBR058C	56.2863	58.751	53.7893	44.8568	64.5827	54.7759	49.0881	68.6591
YBR058C-A	181.0951	162.695	171.1479	145.7844	162.5701	181.6253	190.2163	164.0188
YBR059C	85.6531	99.4247	80.684	128.9632	193.748	227.7523	265.8938	175.462
YBR060C	31.814	42.9334	26.8947	39.2497	26.7239	40.3612	18.408	53.4015
YBR061C	61.1808	49.7123	19.5598	22.4284	28.9508	8.6488	18.408	19.072
YBR062C	29.3668	51.972	39.1195	47.6603	46.7667	92.2541	98.1762	87.731
YBR064W	2.4472	0	0	0	0	0	2.0453	0
YBR063C	19.5779	24.8562	26.8947	22.4284	42.3128	20.1806	20.4534	15.2576
YBR065C	4.8945	6.779	7.3349	8.4106	11.1349	20.1806	0	19.072
YBR066C	22.0251	51.972	97.7988	86.91	48.9937	11.5318	38.8614	26.7007
YBR067C	411.1349	418.0356	386.3052	409.3179	356.3181	320.0065	329.2992	320.4089
YBR068C	230.0398	250.8214	288.5064	344.8363	432.0357	429.5582	351.798	301.3369
YBR069C	139.4922	124.2809	117.3586	61.678	51.2207	49.01	24.544	30.5151
YBR070C	39.1557	31.6351	29.3396	25.2319	33.4048	20.1806	24.544	38.1439
YBR071W	26.9195	29.3755	17.1148	14.0177	15.5889	11.5318	18.408	30.5151
YBR072W	212.9091	169.4739	266.5017	313.9973	409.7658	631.3641	889.7216	991.7418
YBR072C-A	12.2362	9.0386	4.8899	2.8035	15.5889	17.2976	22.4987	45.7727
YBR073W	102.7837	61.0106	73.3491	70.0887	73.4906	57.6588	49.0881	61.0303
YBR074W	46.4974	54.2317	48.8994	36.4461	42.3128	46.1271	40.9067	68.6591
YBR076W	4.8945	15.8176	2.445	0	2.227	8.6488	0	7.6288
YBR076C-A	12.2362	29.3755	17.1148	30.839	24.4969	8.6488	40.9067	15.2576
